Banner,UPC,Kansas,New York,Northern California,Texas
Safeway,617543188,20.79,,,20.99
Safeway,622287285,,,,3.09
Safeway,625438627,,,,59.09
Safeway,627416688,24.19,,,24.49
Safeway,627807402,23.99,,,24.19
Safeway,627831552,52.19,,,52.69
Safeway,628622442,,11.39,,9.79
Safeway,629512894,55.09,64.59,,55.59
Safeway,631749882,20.99,,,21.29
Safeway,633357974,10.59,12.39,,10.69
Safeway,634830299,12.69,,,
Safeway,635609352,16.29,,,16.39
Safeway,637471150,49.99,58.59,,50.49
Safeway,620047925,45.99,,,46.39
Safeway,599921977,33.59,39.49,,
Safeway,599052834,,20.09,,17.29
Safeway,598589918,6.19,,,
Safeway,574169049,14.59,,,14.79
Safeway,574404121,26.99,31.59,,27.29
Safeway,574686428,36.99,43.39,,37.29
Safeway,575714399,13.19,,,13.29
Safeway,576244412,24.49,28.79,,24.79
Safeway,576506037,41.49,,,41.89
Safeway,579355486,9.59,,,9.69
Safeway,581030587,12.89,15.19,,13.09
Safeway,581614281,44.89,,,45.29
Safeway,582214622,16.09,,,16.19
Safeway,582451335,55.79,65.39,,56.29
Safeway,583297806,,,,37.59
Safeway,583333446,43.39,,,43.79
Safeway,583382498,18.19,,,
Safeway,583814806,41.29,,,41.69
Safeway,584200676,41.49,48.69,,
Safeway,584598491,58.89,,,
Safeway,585091176,19.39,,,
Safeway,587031338,55.99,65.69,,
Safeway,587816654,36.69,,,37.09
Safeway,588225773,,,,20.19
Safeway,591915659,56.19,,,56.79
Safeway,592298415,43.59,,,44.09
Safeway,592499340,2.49,,,2.59
Safeway,594035260,58.39,,,58.99
Safeway,594511101,18.69,,,
Safeway,596626474,,,,37.39
Safeway,571896895,10.59,12.39,,10.69
Safeway,764458897,45.59,,,45.99
Safeway,764530996,29.99,,,30.29
Safeway,765932940,,,,52.89
Safeway,916097175,16.59,,,16.79
Safeway,917100992,,61.09,,52.59
Safeway,917211564,16.89,,,16.99
Safeway,917901226,55.79,,,
Safeway,918833743,6.29,7.29,,6.29
Safeway,919110708,,,,15.29
Safeway,920526931,35.79,,,36.19
Safeway,922747986,17.19,,,17.29
Safeway,923314883,22.19,25.99,,22.39
Safeway,923891080,15.69,,,15.79
Safeway,924190396,,,,3.39
Safeway,926444424,14.19,,,14.29
Safeway,915191199,,,,31.69
Safeway,927312846,,13.79,,11.89
Safeway,927879675,28.19,,,28.49
Safeway,928259579,18.59,21.79,,18.79
Safeway,929137671,13.59,,,13.69
Safeway,929338551,20.39,23.89,,20.59
Safeway,929458444,26.49,,,26.79
Safeway,930355523,13.19,15.39,,13.29
Safeway,931390073,16.99,,,
Safeway,932170886,50.89,,,51.39
Safeway,932644749,58.19,68.29,,58.79
Safeway,932864695,26.99,31.69,,27.29
Safeway,936330605,56.89,,,57.49
Safeway,938758588,42.99,,,43.39
Safeway,927693101,,22.29,,19.19
Safeway,912873332,20.19,23.69,,
Safeway,912415151,24.59,,,24.79
Safeway,909199429,29.39,,,29.69
Safeway,882672998,26.29,,,26.59
Safeway,883647960,47.09,,,47.59
Safeway,883713851,36.99,,,37.39
Safeway,885481376,15.39,,,15.49
Safeway,886012244,5.29,6.19,,
Safeway,886105169,48.19,,,
Safeway,887149013,48.49,,,48.99
Safeway,888354959,1.89,2.19,,1.89
Safeway,888599847,49.49,,,49.99
Safeway,888666503,59.99,,,60.59
Safeway,888713764,20.79,24.39,,20.99
Safeway,891797170,24.59,28.79,,24.79
Safeway,894150291,,30.39,,26.19
Safeway,894764703,25.29,29.59,,
Safeway,895637329,44.49,,,44.89
Safeway,896138462,,,,21.99
Safeway,896974529,16.29,,,16.39
Safeway,897021614,55.99,,,
Safeway,897422303,38.49,45.09,,
Safeway,899819893,55.09,,,55.69
Safeway,899956196,53.99,,,
Safeway,902552274,0.69,,,0.79
Safeway,904714463,45.49,53.29,,
Safeway,905792642,9.69,,,
Safeway,905914857,46.09,,,46.59
Safeway,906234211,3.09,,,3.09
Safeway,907400779,15.49,18.19,,15.69
Safeway,939282782,34.49,,,
Safeway,881311707,,,,53.19
Safeway,942541787,29.89,,,30.19
Safeway,944430721,20.99,,,21.19
Safeway,978164640,13.79,,,13.99
Safeway,978196729,17.69,,,17.89
Safeway,979616943,1.19,1.39,,1.19
Safeway,980113553,,53.39,,45.99
Safeway,980150388,51.49,,,
Safeway,980564443,34.99,,,
Safeway,981197816,44.39,52.09,,44.89
Safeway,981510405,59.29,,,59.99
Safeway,981620604,,,,37.99
Safeway,986041768,,28.29,,24.39
Safeway,986134213,,68.39,,58.89
Safeway,987411986,,65.79,,56.59
Safeway,977134983,32.49,38.09,,
Safeway,987897892,8.99,,,9.09
Safeway,988779486,31.49,,,31.89
Safeway,990258086,39.09,,,39.49
Safeway,992105314,,40.79,,35.09
Safeway,992125856,44.69,52.39,,
Safeway,993910240,,,,23.69
Safeway,994344572,,,,10.89
Safeway,995745822,40.49,47.49,,40.89
Safeway,995798889,,66.49,,57.19
Safeway,996262978,,,,13.19
Safeway,996849471,,13.69,,11.79
Safeway,998831540,36.29,,,36.69
Safeway,999185078,52.79,61.89,,53.29
Safeway,988776021,37.59,,,
Safeway,976976235,58.39,68.49,,58.99
Safeway,975793603,,,,42.19
Safeway,975326196,,,,28.29
Safeway,945973686,56.89,66.69,,57.49
Safeway,946880003,58.89,69.09,,59.49
Safeway,947534594,40.69,,,
Safeway,949435750,8.49,,,8.59
Safeway,950498192,58.19,,,58.79
Safeway,952287274,52.59,61.69,,53.09
Safeway,952635660,12.79,,,
Safeway,955026913,53.69,62.99,,54.29
Safeway,955421336,17.89,,,18.09
Safeway,958194401,,43.69,,37.59
Safeway,958465158,45.89,,,
Safeway,959054260,19.69,,,19.89
Safeway,959211839,33.49,,,33.79
Safeway,962019991,30.99,36.29,,31.29
Safeway,962420701,16.59,,,
Safeway,963136610,40.99,,,41.39
Safeway,963229417,45.49,53.39,,45.99
Safeway,963858888,49.99,,,
Safeway,964715239,,,,34.29
Safeway,965083187,32.99,38.69,,33.29
Safeway,965370690,44.99,,,45.39
Safeway,966125119,25.19,29.59,,25.49
Safeway,966176819,37.19,,,37.59
Safeway,966807089,,,,55.69
Safeway,967167461,22.69,26.59,,22.89
Safeway,970617307,52.89,,,53.49
Safeway,971923169,48.19,,,48.69
Safeway,943281894,18.99,,,19.09
Safeway,879777546,47.29,,,47.69
Safeway,878698622,24.79,,,25.09
Safeway,877162041,25.69,,,25.89
Safeway,795937333,22.79,,,23.09
Safeway,797375865,57.19,67.09,,57.79
Safeway,798625113,,,,3.59
Safeway,801329171,51.89,,,52.39
Safeway,802480036,54.09,,,54.59
Safeway,804094528,42.09,,,42.59
Safeway,805082512,16.09,18.89,,16.29
Safeway,808274867,,46.59,,40.19
Safeway,808976577,,31.89,,27.49
Safeway,810777505,28.49,,,28.79
Safeway,812183948,30.09,,,30.39
Safeway,812264326,29.79,34.89,,30.09
Safeway,795655973,54.99,,,
Safeway,812817987,22.59,26.39,,
Safeway,817162115,18.79,22.09,,18.99
Safeway,817674221,46.89,,,47.29
Safeway,818139689,55.99,,,56.59
Safeway,819121025,,,,20.39
Safeway,820540489,52.29,,,52.79
Safeway,821096485,,,,9.09
Safeway,821504223,45.09,,,45.49
Safeway,822316142,4.09,,,4.19
Safeway,825958722,9.49,11.09,,9.59
Safeway,826114350,20.39,,,20.59
Safeway,826771870,14.69,17.29,,14.89
Safeway,826777526,,57.69,,49.69
Safeway,813117592,44.99,,,45.39
Safeway,794251522,37.39,,,37.79
Safeway,793865483,17.89,,,
Safeway,791901779,46.19,,,46.69
Safeway,765958220,16.79,19.69,,16.99
Safeway,766810433,18.29,,,18.49
Safeway,768303991,51.29,,,51.79
Safeway,768547166,36.99,43.39,,37.39
Safeway,768628469,9.19,10.79,,9.29
Safeway,768879663,,69.79,,60.09
Safeway,768900012,,60.69,,52.29
Safeway,769464973,39.59,,,39.99
Safeway,770347410,1.59,,,1.69
Safeway,771066892,32.99,38.69,,33.29
Safeway,773828271,56.69,66.59,,57.29
Safeway,774342015,36.49,,,36.79
Safeway,774949377,26.49,,,26.79
Safeway,778006625,53.39,,,53.99
Safeway,778682895,4.69,5.49,,4.69
Safeway,780230660,48.19,,,48.69
Safeway,783399454,31.19,36.59,,31.59
Safeway,783845705,23.49,,,23.69
Safeway,783899410,42.39,,,42.79
Safeway,784408530,2.29,2.69,,2.29
Safeway,785234168,33.39,,,33.69
Safeway,786293238,5.79,,,5.89
Safeway,789649867,48.69,,,49.19
Safeway,789986401,14.69,17.19,,14.79
Safeway,790024227,14.89,17.49,,15.09
Safeway,790066655,4.39,,,4.39
Safeway,790347148,43.69,51.29,,44.09
Safeway,827210689,7.19,,,7.29
Safeway,827352822,21.69,,,21.89
Safeway,827531126,39.39,,,39.79
Safeway,827631041,40.79,47.89,,41.19
Safeway,852479948,18.99,22.29,,19.19
Safeway,854689154,51.89,60.89,,52.39
Safeway,854985252,38.89,,,39.29
Safeway,855000437,,24.99,,21.49
Safeway,856365324,,,,39.59
Safeway,856554674,23.69,,,23.99
Safeway,857067649,54.79,64.29,,55.39
Safeway,857721983,27.09,,,27.39
Safeway,859607186,24.59,28.79,,
Safeway,860167579,,,,35.79
Safeway,861024387,5.29,6.19,,5.29
Safeway,861871758,52.69,61.79,,53.19
Safeway,864093895,,,,2.99
Safeway,864128161,4.39,,,4.39
Safeway,864892235,40.19,,,
Safeway,865020811,43.09,,,43.59
Safeway,866416138,40.79,47.79,,41.19
Safeway,866698043,,,,6.09
Safeway,870309366,41.29,,,41.69
Safeway,870595943,45.49,,,45.99
Safeway,870721732,,20.89,,17.99
Safeway,872082334,,,,5.19
Safeway,872889619,38.99,45.69,,
Safeway,873270447,59.29,,,59.89
Safeway,874971914,17.79,,,17.99
Safeway,876226151,18.79,,,18.99
Safeway,876898615,57.49,,,58.09
Safeway,850860889,17.69,20.69,,17.79
Safeway,514293895,39.29,46.09,,39.69
Safeway,850719150,8.19,,,8.29
Safeway,849425547,51.49,60.39,,51.99
Safeway,827898456,37.69,,,
Safeway,827980895,54.59,,,55.19
Safeway,829968022,33.29,39.09,,
Safeway,830115263,44.79,,,45.29
Safeway,831054514,34.69,,,35.09
Safeway,831639757,,49.39,,42.59
Safeway,832037986,7.59,,,7.59
Safeway,832713642,,33.09,,28.49
Safeway,835193761,58.39,,,58.99
Safeway,835966795,11.49,,,11.69
Safeway,836742374,,,,43.89
Safeway,836817411,24.59,28.79,,24.79
Safeway,838460068,59.09,,,59.69
Safeway,838729004,6.99,8.09,,6.99
Safeway,839680734,30.39,,,30.69
Safeway,840138489,26.89,,,27.19
Safeway,841392681,56.09,,,56.69
Safeway,842306029,39.19,,,
Safeway,842621232,42.99,,,
Safeway,842968031,33.89,,,
Safeway,843645850,28.29,,,
Safeway,845328666,35.49,,,35.79
Safeway,845893087,50.99,,,
Safeway,846637828,,,,5.19
Safeway,848007798,18.29,21.39,,18.49
Safeway,848280790,36.59,,,36.99
Safeway,849299370,,,,11.19
Safeway,849702242,43.19,50.59,,43.59
Safeway,513172706,,,,5.29
Safeway,763210027,27.09,,,27.39
Safeway,509116779,1.39,,,1.39
Safeway,165254790,32.59,,,32.89
Safeway,165324638,59.09,,,59.69
Safeway,165526080,3.59,,,3.59
Safeway,165559469,30.59,,,30.89
Safeway,169472387,48.59,,,48.99
Safeway,171059624,34.49,,,
Safeway,171858013,29.19,,,29.49
Safeway,172380215,38.59,,,38.99
Safeway,173173585,43.99,,,44.49
Safeway,176351627,53.79,,,54.39
Safeway,177925497,47.09,,,47.49
Safeway,178923336,14.29,,,14.39
Safeway,164485660,37.29,,,37.69
Safeway,182310151,33.29,,,33.59
Safeway,187405236,41.29,48.39,,41.69
Safeway,189054973,34.89,40.89,,35.29
Safeway,189565540,43.39,,,43.79
Safeway,193724353,42.49,,,42.89
Safeway,193736714,56.59,,,57.19
Safeway,196109651,37.49,43.99,,
Safeway,197321036,,,,29.49
Safeway,198082596,,,,0.59
Safeway,200021055,2.29,,,
Safeway,200253393,50.49,,,50.99
Safeway,200282631,26.99,,,
Safeway,200809424,44.69,,,45.19
Safeway,186497742,25.59,30.09,,
Safeway,163809044,36.29,,,36.69
Safeway,163383455,,,,5.79
Safeway,162356142,47.59,,,48.09
Safeway,129232150,21.29,,,21.49
Safeway,129833275,27.09,31.79,,27.39
Safeway,130186387,20.19,,,20.39
Safeway,130358296,32.29,37.89,,32.69
Safeway,131820869,52.69,,,53.29
Safeway,132112942,57.69,,,58.29
Safeway,132458395,30.99,,,
Safeway,136528713,,16.39,,14.09
Safeway,142231691,13.29,,,13.39
Safeway,142252924,29.79,34.99,,30.09
Safeway,144575642,17.49,,,17.69
Safeway,144644625,55.99,65.69,,56.59
Safeway,145210517,49.09,57.59,,
Safeway,146021511,45.59,,,45.99
Safeway,151145905,26.99,,,27.19
Safeway,151287985,20.19,23.69,,
Safeway,152181269,40.49,,,40.89
Safeway,152398257,5.79,,,5.89
Safeway,152458350,17.89,,,17.99
Safeway,154602616,27.29,32.09,,27.59
Safeway,157129774,7.09,8.29,,7.09
Safeway,157966725,17.59,,,17.79
Safeway,158953776,59.29,69.59,,59.99
Safeway,160430177,59.09,,,
Safeway,161076622,,,,58.99
Safeway,161725486,36.69,,,37.09
Safeway,162045248,56.99,,,57.59
Safeway,201346142,45.79,,,46.19
Safeway,127887048,8.79,,,
Safeway,204071291,28.79,,,29.09
Safeway,205812283,,47.69,,41.09
Safeway,238497653,37.99,,,38.39
Safeway,240879755,33.19,38.99,,
Safeway,240924482,32.79,38.49,,33.09
Safeway,242277190,52.49,,,53.09
Safeway,242743338,44.49,,,44.89
Safeway,243131192,2.39,,,
Safeway,243785066,38.59,,,
Safeway,243934119,13.59,15.89,,13.69
Safeway,244294577,33.29,,,33.69
Safeway,244899396,34.99,,,35.39
Safeway,245619737,23.09,27.09,,
Safeway,246582548,47.69,,,
Safeway,238441424,,,,33.79
Safeway,246585815,,,,14.89
Safeway,250622702,38.49,,,38.89
Safeway,251180255,,,,13.89
Safeway,252280717,15.89,18.59,,
Safeway,252888653,,,,13.49
Safeway,253141402,,,,35.89
Safeway,254804864,57.89,,,58.49
Safeway,256001467,25.39,29.79,,25.69
Safeway,256779462,27.49,,,27.79
Safeway,256906423,,,,10.09
Safeway,258597638,41.49,,,
Safeway,259287413,,,,11.29
Safeway,262051609,23.99,28.19,,
Safeway,248544810,32.99,,,
Safeway,238245641,5.49,,,5.59
Safeway,237280009,38.19,,,38.59
Safeway,236968723,21.09,24.69,,21.29
Safeway,207648093,8.09,9.39,,
Safeway,212886542,,42.29,,36.49
Safeway,213048650,18.99,22.29,,19.19
Safeway,213387822,35.29,,,35.69
Safeway,214212433,53.89,,,54.49
Safeway,215480572,16.29,19.09,,16.49
Safeway,218294289,55.59,,,56.09
Safeway,218958254,11.89,13.99,,12.09
Safeway,220433295,20.59,24.09,,20.79
Safeway,220677427,59.49,,,60.09
Safeway,221349675,37.49,,,37.89
Safeway,222180587,8.99,,,9.09
Safeway,222633181,38.19,,,38.59
Safeway,223905761,,,,46.99
Safeway,224558960,50.79,59.59,,51.29
Safeway,226008184,8.69,,,8.79
Safeway,226080317,1.99,,,2.09
Safeway,227635624,6.79,7.99,,6.89
Safeway,227818213,55.89,,,56.49
Safeway,228431403,30.19,,,30.49
Safeway,228591095,,36.09,,
Safeway,229341656,39.19,,,39.59
Safeway,230451071,23.99,,,24.19
Safeway,234033889,17.49,,,17.69
Safeway,234070455,7.49,,,7.59
Safeway,236468029,4.89,,,4.89
Safeway,236677062,56.59,,,57.19
Safeway,205698731,3.69,,,3.69
Safeway,127838957,40.09,46.99,,
Safeway,127821311,20.09,23.49,,20.29
Safeway,126967843,24.29,28.39,,24.49
Safeway,44385546,12.09,,,12.19
Safeway,45509167,27.79,,,28.09
Safeway,45824749,28.59,,,
Safeway,45845527,,,,1.69
Safeway,47158754,24.49,28.69,,24.69
Safeway,47174618,3.79,,,3.79
Safeway,48013704,,,,50.49
Safeway,48258595,18.39,,,18.49
Safeway,51294147,,,,14.69
Safeway,52851370,42.59,,,43.09
Safeway,53317855,34.99,,,35.29
Safeway,54236183,22.29,,,
Safeway,44276570,,,,38.49
Safeway,54548062,41.29,48.49,,41.69
Safeway,55833407,28.59,33.49,,28.89
Safeway,56176612,30.89,36.19,,31.19
Safeway,57394222,,36.89,,31.79
Safeway,57714338,25.89,,,26.19
Safeway,58785197,20.79,,,20.99
Safeway,59479815,45.89,,,
Safeway,60042797,13.09,,,13.19
Safeway,60168857,1.99,,,1.99
Safeway,60193187,,,,7.99
Safeway,60912855,50.79,,,51.39
Safeway,61278034,22.79,26.69,,22.99
Safeway,61566790,33.09,38.79,,33.39
Safeway,55404606,37.89,,,38.29
Safeway,44053660,3.19,3.69,,3.19
Safeway,43366358,46.59,,,47.09
Safeway,41066545,56.09,,,56.69
Safeway,509419735,38.19,44.79,,
Safeway,16482322,17.89,,,18.09
Safeway,16729338,7.99,9.39,,8.09
Safeway,16829288,3.59,4.19,,3.59
Safeway,16900911,29.19,34.19,,29.49
Safeway,16999755,5.29,6.19,,5.29
Safeway,17066659,3.09,3.59,,3.09
Safeway,19696884,,,,5.89
Safeway,19911643,,,,30.69
Safeway,19982129,27.39,,,27.69
Safeway,21872584,7.99,,,
Safeway,22132676,5.39,,,
Safeway,22976162,49.59,58.19,,50.09
Safeway,23493525,26.19,,,26.49
Safeway,24764365,,,,18.29
Safeway,25023603,14.99,,,15.19
Safeway,25313327,17.29,,,17.49
Safeway,26132370,,23.49,,20.19
Safeway,26791818,10.69,,,10.79
Safeway,26959766,54.39,63.79,,54.99
Safeway,27595398,8.59,,,
Safeway,27866264,56.39,66.19,,56.99
Safeway,35072231,49.69,,,50.19
Safeway,38126522,57.29,,,57.89
Safeway,38399923,38.79,45.49,,39.19
Safeway,39601228,22.69,,,22.89
Safeway,40555797,27.39,32.19,,27.69
Safeway,62068892,10.99,,,11.09
Safeway,62563085,47.69,,,48.19
Safeway,63494206,,,,22.19
Safeway,65837987,55.89,,,
Safeway,98441419,27.29,,,27.59
Safeway,99583114,24.49,,,24.69
Safeway,99830442,57.29,67.29,,57.89
Safeway,101201265,47.99,56.29,,48.49
Safeway,105664025,22.49,,,
Safeway,106365705,20.39,,,20.59
Safeway,106599165,36.99,,,37.29
Safeway,106918220,23.49,,,23.69
Safeway,107865183,32.29,,,32.69
Safeway,109076038,,,,35.69
Safeway,110354720,15.59,,,15.79
Safeway,110497121,22.09,25.89,,
Safeway,111650456,56.19,,,
Safeway,112509592,40.69,,,41.09
Safeway,112817865,55.89,,,
Safeway,113224794,38.09,,,38.39
Safeway,113921219,19.19,,,19.29
Safeway,115104280,19.39,22.69,,19.59
Safeway,115681900,29.99,,,30.39
Safeway,118708197,21.09,,,21.39
Safeway,119616993,32.09,37.69,,32.49
Safeway,120290503,10.19,11.89,,
Safeway,121620235,57.29,,,57.79
Safeway,122484761,34.19,,,34.49
Safeway,124052151,19.89,,,20.09
Safeway,124091247,,,,53.19
Safeway,125829867,14.39,,,14.59
Safeway,98164748,11.59,13.59,,11.79
Safeway,265077864,9.29,,,
Safeway,95866554,33.79,39.59,,34.09
Safeway,95658838,38.79,45.59,,39.19
Safeway,66025021,34.09,,,34.39
Safeway,68034486,5.19,6.09,,5.29
Safeway,69037528,3.19,,,3.19
Safeway,69584995,11.69,13.69,,11.79
Safeway,70124770,56.69,,,57.29
Safeway,70324549,44.09,51.69,,44.49
Safeway,70848410,2.69,,,2.69
Safeway,71726448,8.19,,,8.29
Safeway,73544548,34.69,,,
Safeway,73570156,23.99,,,24.29
Safeway,74029795,41.09,48.29,,41.59
Safeway,75242878,3.79,,,3.89
Safeway,77045464,,,,13.19
Safeway,77460052,1.19,,,1.19
Safeway,79218866,50.99,59.79,,
Safeway,81313305,52.99,,,53.59
Safeway,81927167,35.39,,,35.79
Safeway,83141336,52.89,,,53.49
Safeway,86262532,50.99,59.79,,51.49
Safeway,86858655,2.59,,,
Safeway,87093736,25.39,,,25.69
Safeway,88576101,54.99,,,55.49
Safeway,90756884,36.49,,,36.89
Safeway,93351329,12.79,,,12.89
Safeway,93696286,8.39,,,8.49
Safeway,94769945,19.99,,,20.19
Safeway,94849573,56.49,,,57.09
Safeway,95862680,,13.59,,11.69
Safeway,265291556,,,,25.79
